Start,,,,,,,,,,,
SetBGM,1,,,,,,,,,,
DefBGMTime,100,,,,,,,,,,
SetSpeed,150,,,,,,,,,,
SwitchSkip,,,,,,,,,,,
SetEnemy,582,-24,120,582,100,180,582,-24,120,0,2
Wait,170,,,,,,,,,,
SetEnemy,429,-24,60,429,100,180,429,-24,60,1,2
SetEnemy,735,-24,60,735,100,180,735,-24,60,1,2
SwitchSkip,,,,,,,,,,,
Wait,300,,,,,,,,,,
SetEnemy,429,-24,150,429,360,0,429,744,150,0,2
SetEnemy,735,-24,150,735,360,0,735,744,150,0,2
Wait,150,,,,,,,,,,
SetEnemy,429,-24,150,429,360,0,429,744,150,0,2
SetEnemy,735,-24,150,735,360,0,735,744,150,0,2
Wait,150,,,,,,,,,,
SetEnemy,429,-24,150,429,360,0,429,744,150,0,2
SetEnemy,735,-24,150,735,360,0,735,744,150,0,2
Wait,150,,,,,,,,,,
SetEnemy,429,-24,150,429,360,0,429,744,150,0,2
SetEnemy,735,-24,150,735,360,0,735,744,150,0,2
Wait,150,,,,,,,,,,
SetEnemy,429,-24,150,429,360,0,429,744,150,0,2
SetEnemy,735,-24,150,735,360,0,735,744,150,0,2
SetItem,0,566,-16,,,,,,,,
SetItem,0,598,-16,,,,,,,,
Wait,300,,,,,,,,,,
SwitchSkip,,,,,,,,,,,
SetDZ,429,-50,306,100,,,,,,,
Wait,30,,,,,,,,,,
SetEnemy,429,-24,150,429,360,0,429,744,150,0,2
Wait,120,,,,,,,,,,
SetDZ,735,-50,306,100,,,,,,,
Wait,30,,,,,,,,,,
SetEnemy,735,-24,150,735,360,0,735,744,150,0,2
Wait,120,,,,,,,,,,
SetDZ,429,-50,306,100,,,,,,,
Wait,30,,,,,,,,,,
SetEnemy,429,-24,150,429,360,0,429,744,150,0,2
Wait,150,,,,,,,,,,
SetItem,1,582,-16,,,,,,,,
Wait,150,,,,,,,,,,
SwitchSkip,,,,,,,,,,,
SetEnemy,276,100,90,582,250,0,888,400,90,0,2
Wait,90,,,,,,,,,,
SetEnemy,276,100,90,582,250,0,888,400,90,0,2
Wait,90,,,,,,,,,,
SetEnemy,276,100,90,582,250,0,888,400,90,0,2
Wait,90,,,,,,,,,,
SetEnemy,276,100,90,582,250,0,888,400,90,0,2
Wait,180,,,,,,,,,,
SetEnemy,888,100,90,582,250,0,276,400,90,0,2
Wait,90,,,,,,,,,,
SetEnemy,888,100,90,582,250,0,276,400,90,0,2
Wait,90,,,,,,,,,,
SetEnemy,888,100,90,582,250,0,276,400,90,0,2
Wait,90,,,,,,,,,,
SetEnemy,888,100,90,582,250,0,276,400,90,0,2
Wait,180,,,,,,,,,,
SetEnemy,276,80,60,582,80,60,582,-24,60,1,2
Wait,120,,,,,,,,,,
SetEnemy,888,80,60,582,80,60,582,-24,60,1,2
Wait,120,,,,,,,,,,
SetEnemy,276,80,60,582,80,0,888,80,60,0,2
Wait,120,,,,,,,,,,
SetEnemy,888,80,60,582,80,60,582,-24,60,1,2
Wait,120,,,,,,,,,,
SetEnemy,276,80,60,582,80,60,582,-24,60,1,2
Wait,120,,,,,,,,,,
SetEnemy,888,80,60,582,80,0,276,80,60,0,2
Wait,120,,,,,,,,,,
SetEnemy,276,80,60,582,80,60,582,-24,60,1,2
Wait,120,,,,,,,,,,
SetEnemy,888,80,60,582,80,60,582,-24,60,1,2
Wait,120,,,,,,,,,,
SetEnemy,276,80,60,582,80,0,888,80,60,0,2
Wait,120,,,,,,,,,,
SetEnemy,888,80,60,582,80,60,582,-24,60,1,2
Wait,120,,,,,,,,,,
SwitchSkip,,,,,,,,,,,
SetItem,0,582,-16,,,,,,,,
Wait,60,,,,,,,,,,
SwitchSkip,,,,,,,,,,,
SetEnemy,582,-24,180,582,150,0,-100,0,180,3,3
End,,,,,,,,,,,
